MMMV	SMILES	DISEASE
MMV676524	Nc1cccnc1Nc2ccc(Cl)cc2	TUBERCULOSIS
MMV688125	CCCc1ccc(cc1)S(=O)(=O)Nc2ccc(CN3CCN(CC4CC4)CC3)cc2	TUBERCULOSIS
MMV688466	Cn1ccnc1CNCCS(=O)(=O)c2cccc(Nc3ccc(cn3)c4cccc(F)c4)c2	TUBERCULOSIS
MMV687749	C([C@@H]1CN(CCN1)c2nccc(Oc3ccc(cc3)n4ccnc4)n2)c5ccccc5	TUBERCULOSIS
MMV023969	C(Nc1cccnc1)c2ccc(s2)c3cc4ccncc4cc3OC5CCNCC5	TUBERCULOSIS
MMV687765	Cc1cnc(nc1Oc2ccc(cc2)n3ccnc3)N4CCN[C@@H](Cc5ccccc5)C4	TUBERCULOSIS
MMV688124	CCc1ccc(cc1)S(=O)(=O)Nc2cc(CN3CCN(CCC(C)C)CC3)ccc2C	TUBERCULOSIS
MMV676512	O=C(Nc1nc(cs1)c2ccccn2)c3cncn3c4ccccc4	TUBERCULOSIS
MMV272144	COc1cccc(c1)n2nnnc2S(=O)(=O)C	TUBERCULOSIS
MMV495543	CC(C)(C)c1cnc(NC(=O)c2ccccc2O)s1	TUBERCULOSIS
MMV021013	C1CCC(CC1)Nc2cc(nc(n2)c3ccccn3)C4CC4	TUBERCULOSIS
MMV054312	CC(=O)N1CCc2cc3nc(C)cc(C)c3cc12	TUBERCULOSIS
MMV228911	COc1cccc(NC(=O)c2c3CCCc3sc2NC(=O)c4cccnc4)c1	TUBERCULOSIS
MMV553002	CS(=O)(=O)CC1=Nc2ccccc2OC1=O	TUBERCULOSIS
MMV676388	COc1cccc(c1)n2nnnc2S(=O)(=O)Cc3ccccc3	TUBERCULOSIS
MMV688755	[O-][N+](=O)c1cn2C[C@@H](COc2n1)OCc3ccc(OC(F)(F)F)cc3	TUBERCULOSIS
MMV688756	CC(=O)NC[C@H]1CN(C(=O)O1)c2ccc(N3CCSCC3)c(F)c2	TUBERCULOSIS
MMV688844	COc1ccc2nccc(NC(=O)C3CCN(CCc4ccc(Cl)cc4)CC3)c2n1	TUBERCULOSIS
MMV688845	O=C(Nc1ccccc1N2CCOCC2)[C@@H](Cc3ccccc3)NC(=O)c4cccs4	TUBERCULOSIS
MMV688846	Cc1ccccc1CN2CCC(O)(CC2)c3ccc(Cl)c(c3)C(F)(F)F	TUBERCULOSIS
MMV688888	CN1CCN(CC1)c2cc(nc(n2)c3ccncc3)c4ccc(F)cc4	TUBERCULOSIS
MMV688889	Clc1ccc(CCNc2cc(nc3ncnn23)c4ccccc4)cc1	TUBERCULOSIS
MMV688891	COc1cc(Br)cc2C=C(C(=O)Nc3cccc(c3)C(F)(F)F)C(=O)Oc12	TUBERCULOSIS
MMV688936	Clc1cccc2sc(nc12)N(CCCn3ccnc3)C(=O)c4occc4	TUBERCULOSIS
MMV688939	Cc1ccc2nc(C)c(c3ccn(Cc4ccccc4)n3)n2c1	TUBERCULOSIS
MMV688941	COc1cc(CN2CCC3(CC2)C=Cc4ccccc34)cc5OCOc15	TUBERCULOSIS
MMV661713	Brc1cncc(c1)c2cc(NCCCn3ccnc3)nc(n2)c4ccccc4	TUBERCULOSIS
MMV688938	CCOc1ccc(cc1)c2nc(CNCCc3ccc(F)cc3)cs2	TUBERCULOSIS
MMV019551	CCC(NC(=O)c1ccccc1NC(=O)c2ccc(C)cc2)C(=O)OC	MALARIA
MMV020982	CC(C)(C)c1cc(cc(c1)C(=O)Nc2cccnc2)C(=O)Nc3cccnc3	MALARIA
MMV560185	C1CCN(CC1)c2cc(nc3ccccc23)c4ccccn4	MALARIA
MMV023953	O=C(Nc1cccc(c1)c2ccc(NCCCN3CCCC3)nc2)c4ccccc4	MALARIA
MMV022029	CN1CCC(CC1)NCc2cccc(c2)c3ccc(cc3)S(=O)(=O)NCc4ccccc4	MALARIA
MMV085071	COc1cncc(c1)c2cncc(n2)N3CCN(CC3)c4ccncc4	MALARIA
MMV011691	NCC(=O)N1CCn2c(C1)nc(c2Nc3ccc4OCOc4c3)c5ccccc5	MALARIA
MMV031011	CNC(=O)C1Cc2c([nH]c3cc(Cl)ccc23)C4(CCN(CCc5ccccc5)CC4)N1	MALARIA
MMV001059	CCCS(=O)(=O)N1CCC(CO)(Cc2ccccc2C(F)(F)F)CC1	MALARIA
MMV010764	C(Nc1nn2c(cnc2s1)c3cccs3)C4CCOCC4	MALARIA
MMV032967	FC(F)(F)c1cccc(c1)c2nc3c(NCc4ccncc4)nccc3[nH]2	MALARIA
MMV010576	COc1cc(ccc1O)c2cc(cnc2N)c3ccc(cc3)S(=O)(=O)C	MALARIA
MMV085499	NC(=O)c1ccc(cc1)c2nc(cnc2N)c3ccc(cc3)C#N	MALARIA
MMV026468	OCc1ccc(cc1)c2cncc(Nc3cccc(Cl)c3)c2	MALARIA
MMV676260	CN1CCN(CC1)c2nccc3nc([nH]c23)c4ccc(F)c(F)c4	MALARIA
MMV393144	CN1CCN(CC1)c2nccc3[nH]c(cc23)c4cccc(F)c4	MALARIA
MMV392832	COc1cccc(c1)c2cc3c(Nc4cccnc4)nccc3[nH]2	MALARIA
MMV663250	Clc1cccc(c1)C(c2ccc(CN3CCNCC3)cc2)n4ccnc4	MALARIA
MMV024101	NS(=O)(=O)c1cncc(c1)c2ccc3nccc(c4cn[nH]c4)c3n2	MALARIA
MMV085230	CCCNC(=O)N1CCC2(CC1)CC(=O)c3cc(C)ccc3O2	MALARIA
MMV023949	CC(C)(C)c1cc(C(=O)N2CCN(CC2)c3nccnc3C#N)n(Cc4ccccc4)n1	MALARIA
MMV026550	CC(C)(C)CN1C(=NC(C1=O)(c2ccccc2)c3ccccc3)N	MALARIA
MMV026313	Nc1nccc2ccc(Oc3ccncc3)cc12	MALARIA
MMV676269	C[C@@H](N1CCCC[C@H]1c2ccc(OCc3cccc(F)c3)cc2)C(=O)N	MALARIA
MMV676270	C[C@@H](N1CCCC[C@@H]1c2ccc(OCc3cccc(F)c3)cc2)C(=O)N	MALARIA
MMV024195	CN(C)CCNC(=O)N1CCCN(CC1)c2ncnc3cc(sc23)c4ccccc4	MALARIA
MMV028694	OCCc1ccc(Nc2nccc(n2)c3nnc4ccccn34)cc1	MALARIA
MMV024114	Cc1ccc(cc1)S(=O)(=O)n2cc(c3ccnc(N)c3)c4cc(Br)cnc24	MALARIA
MMV023985	COc1ccc(cc1OC)c2cnc3ccc(nn23)N4CCCC4	MALARIA
MMV032995	FC(F)(F)c1ccc(CN2C(=O)COCc3ccc(Br)cc23)cc1	MALARIA
MMV026490	O=C(NCCc1ccccc1)c2cc(cnc2NCC3CC3)c4cccnc4	MALARIA
MMV024937	FC(F)(F)c1nc(oc1C(=O)Nc2ccc(nc2)N3CCNCC3)c4ccccc4	MALARIA
MMV023860	NS(=O)(=O)c1cccc(c1)c2ccc3ncc(nc3c2)N4CCOCC4	MALARIA
MMV024443	CN(C(=O)c1cc2c(cccc2[nH]1)c3cncnc3)c4ccccc4	MALARIA
MMV000907	COc1cccc2c(C)nc(N=C(N)N)nc12	MALARIA
MMV676350	Cc1cnc(CCNC(=O)c2cc(cs2)c3ccc(Cl)cc3)[nH]1	MALARIA
MMV084603	O=C1N(Cc2cc3ccccc3s2)CC4CN(Cc5ccccc5)CCN14	MALARIA
MMV026020	CS(=O)(=O)c1cccc(c1)c2cnc3[nH]cc(c4ccc(CCC(=O)O)cc4)c3c2	MALARIA
MMV026356	CCn1ncc2c(NC3CCOCC3)c(CNC(=O)c4ccnn4C)c(C)nc12	MALARIA
MMV023370	Nc1ncc(cc1c2nc3cc(Cl)cnc3[nH]2)c4cn[nH]c4	MALARIA
MMV022236	CCN(CC)CCCN1CCN(CC1)C(=O)c2cccc(c2)c3noc(n3)C(F)(F)F	MALARIA
MMV019838	FC(F)(F)c1cc(cc(c1)C(F)(F)F)C(=O)Nc2ccnc(n2)c3cccnc3	MALARIA
MMV676380	CC(=O)Nc1ccc(NC(=O)c2cc([nH]n2)c3cc(Cl)ccc3O)cc1	MALARIA
MMV006372	CN(C)CCNc1ncnc2c3cc(C)ccc3[nH]c12	MALARIA
MMV020512	Cc1ccc(Oc2ccc(NC(=O)CNc3ccccc3N4CCCC4=O)cc2)cc1	MALARIA
MMV019721	CCN(CC)S(=O)(=O)c1ccc(Cl)c(c1)C(=O)Nc2ccc3nc(C)sc3c2	MALARIA
MMV019234	COc1ccc(cc1OC)C2CC(=NN2C(=O)c3occc3)c4cccs4	MALARIA
MMV019807	Cc1ccc2cc(C3NC(=O)c4ccccc4N3)c(Cl)nc2c1	MALARIA
MMV020623	Cc1onc(C)c1C(=O)N2CCCC(C2)c3[nH]c4c(C)cccc4c3c5ccncc5	MALARIA
MMV020136	CNC(=O)c1cc(cs1)S(=O)(=O)N2CCN(CC2)c3ccccn3	MALARIA
MMV676442	CC(C)c1ncc(c2ccncc2)c(n1)[C@@H]3CC[C@@H](CNC(=O)c4cccnc4)CC3	MALARIA
MMV007920 	Nc1ccc(cc1)C(=O)Nc2ccc(cc2)c3oc4ccccc4n3	MALARIA
MMV019189	Cc1ccc2c(NC(=O)C23NN=C(S3)c4ccccc4)c1C	MALARIA
MMV020120	CC1CC1C(=O)NC2CCN(CC3(CCCCC3)c4ccccc4)CC2	MALARIA
MMV006901	CN(C)c1cc(NC(=O)Nc2ccccc2)c3ccccc3n1	MALARIA
MMV006741	COc1cc2ncnc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC	MALARIA
MMV006239	Brc1ccc2NC(=O)C3(NCCc4c3[nH]c5ccccc45)c2c1	MALARIA
MMV007638	CCOc1ccc(cc1)c2nc(NC(=O)CS(=O)(=O)c3ccccc3)sc2C	MALARIA
MMV020537	Clc1ccc2OCCN(c3ccc(s3)C(=O)NC4CC4)c2c1	MALARIA
MMV020320	Cc1oc(NC(=O)c2cn(nc2c3ccccc3C)c4ccccc4)nn1	MALARIA
MMV020152	Cc1onc(c1)C(=O)Nc2ccc(cc2)c3ccccc3	MALARIA
